time,a_c,a_h,a_l,a_o,b_c,b_h,b_l,b_o,complete,volume
2019-09-20T01:15:00.000000000Z,1.10539,1.10545,1.10519,1.10524,1.10526,1.10531,1.10505,1.10511,True,74
2019-09-20T01:30:00.000000000Z,1.10527,1.10551,1.10519,1.10537,1.10513,1.10539,1.10506,1.10524,True,69
2019-09-20T01:45:00.000000000Z,1.10529,1.10540,1.10524,1.10524,1.10517,1.10527,1.10511,1.10511,True,46
2019-09-20T02:00:00.000000000Z,1.10530,1.10534,1.10520,1.10528,1.10517,1.10521,1.10507,1.10514,True,41
2019-09-20T02:15:00.000000000Z,1.10538,1.10540,1.10525,1.10528,1.10526,1.10528,1.10512,1.10514,True,23
2019-09-20T02:30:00.000000000Z,1.10565,1.10565,1.10541,1.10541,1.10551,1.10551,1.10528,1.10528,True,35
2019-09-20T02:45:00.000000000Z,1.10598,1.10603,1.10567,1.10567,1.10585,1.10590,1.10554,1.10554,True,61
2019-09-20T03:00:00.000000000Z,1.10568,1.10595,1.10552,1.10595,1.10556,1.10582,1.10540,1.10582,True,70
2019-09-20T03:15:00.000000000Z,1.10570,1.10570,1.10557,1.10567,1.10557,1.10557,1.10545,1.10553,True,33
2019-09-20T03:30:00.000000000Z,1.10562,1.10570,1.10554,1.10568,1.10548,1.10557,1.10541,1.10554,True,48
2019-09-20T03:45:00.000000000Z,1.10572,1.10572,1.10561,1.10565,1.10559,1.10559,1.10549,1.10551,True,16
2019-09-20T04:00:00.000000000Z,1.10580,1.10596,1.10568,1.10571,1.10566,1.10583,1.10554,1.10556,True,67
2019-09-20T04:15:00.000000000Z,1.10594,1.10600,1.10580,1.10581,1.10582,1.10587,1.10566,1.10569,True,37
2019-09-20T04:30:00.000000000Z,1.10590,1.10599,1.10587,1.10597,1.10577,1.10587,1.10575,1.10583,True,45
2019-09-20T04:45:00.000000000Z,1.10589,1.10601,1.10589,1.10593,1.10576,1.10589,1.10576,1.10578,True,29
2019-09-20T05:00:00.000000000Z,1.10578,1.10596,1.10567,1.10587,1.10566,1.10582,1.10554,1.10574,True,40
2019-09-20T05:15:00.000000000Z,1.10571,1.10587,1.10570,1.10577,1.10558,1.10573,1.10556,1.10563,True,53
2019-09-20T05:30:00.000000000Z,1.10578,1.10578,1.10567,1.10573,1.10564,1.10565,1.10551,1.10560,True,36
